시장명,법인명,시장코드
서울가락,서울청과㈜,110001
서울가락,농협가락(공),110001
서울가락,㈜중앙청과,110001
서울가락,동화청과㈜,110001
서울가락,한국청과㈜,110001
서울가락,대아청과㈜,110001
서울가락,강동수산,110001
서울가락,서울수협(공),110001
서울가락,서울건해산물,110001
서울강서,농협강서(공),110008
서울강서,서부청과㈜,110008
서울강서,강서청과㈜,110008
부산엄궁,농협부산(공),210001
부산엄궁,부산청과㈜,210001
부산엄궁,항도청과㈜,210001
부산국제수산,부산감천항수산(주),210005
부산국제수산,PW수산(주),210005
부산국제수산,부산수산물공판장(주),210005
부산국제수산,(주)삼성아이에프엠,210005
부산국제수산,부산수협감천공판장210005
부산반여,동부청과㈜,210009
부산반여,부산중앙청과㈜,210009
부산반여,농협반여(공),210009
대구북부,대구중앙청과㈜,220001
대구북부,효성청과㈜,220001
대구북부,대양청과㈜,220001
대구북부,농협북대구(공),220001
대구북부,대구경북원협(공),220001
인천남촌,㈜대인농산,230001
인천남촌,인천농산물㈜,230001
인천남촌,인천원협남촌(공),230001
인천남촌,덕풍청과㈜,230001
인천삼산,㈜부평농산,230003
인천삼산,㈜경인농산,230003
인천삼산,인천원협삼산(공),230003
광주각화,광주원협(공),240001
광주각화,광주청과㈜,240001
광주각화,광주중앙청과㈜,240001
광주서부,농협광주(공),240004
광주서부,두레청과㈜,240004
광주서부,㈜호남청과,240004
광주서부,광주수협(공),240004
대전오정,농협대전(공),250001
대전오정,대전청과㈜,250001
대전오정,한밭수산(수산),250001
대전오정,한밭수산(건어),250001
대전노은,대전중앙청과㈜,250003
대전노은,대전원협노은(공),250003
대전노은,대전노은진영수산,250003
수원,경기청과㈜,310101
수원,수원청과물㈜,310101
수원,수원원협(공),310101
수원,수원수산,310101
수원,남부수협(공),310101
안양,안양원협(공),310401
안양,평촌수산,310401
안양,안양농산물㈜,310401
안산,농협안산(공),310901
안산,안산수협(공),310901
안산,안산수산,310901
안산,안산농산물㈜,310901
구리,농협구리(공),311201
구리,구리청과㈜,311201
구리,구리수협(공),311201
구리,강북수산,311201
구리,㈜인터넷청과,311201
춘천,춘천중앙청과㈜,320101
춘천,춘천원협(공),320101
원주,합동청과㈜,320201
원주,원주원협(공),320201
강릉,㈜강릉농산물,320301
청주,충북원협청주(공),330101
청주,청주청과시장㈜,330101
청주,청주수산,330101
충주,충북원협충주(공),330201
충주,충주중원청과㈜,330201
충주,충주중원수산,330201
충주,(주)목행수산,330201
천안,천안청과㈜,340101
천안,천안농협(공),340101
천안,해랑수산,340101
전주,전주원협(공),350101
전주,전주청과물㈜,350101
전주,전주수협(공),350101
전주,전주수산,350101
익산,익산원협(공),350301
익산,(합자)이리청과회사,350301
익산,이리수산,350301
정읍,정읍원협(공),350402
정읍,정일청과㈜,350402
순천,순천남도청과㈜,360301
순천,순천원협(공),360301
순천,남일청과㈜,360301
포항,포항청과㈜,370101
포항,대구경북능금농협포항(공),370101
포항,포항농협(공),370101
안동,안동청과(합자),370401
안동,안동농협(공),370401
구미,구미농협(공),371501
구미,구미중앙청과㈜,371501
창원팔용,㈜창원청과시장,380101
창원팔용,농협창원(공),380101
울산,울산원협(공),380201
울산,울산중앙청과시장㈜,380201
울산,울산수협(공),380201
울산,울산중앙수산,380201
울산,울산건해,380201
창원내서,마산청과시장㈜,380303
창원내서,창원원협(공),380303
진주,진주원협(공),380401
진주,진주중앙청과㈜,380401


